ID,Confirmed,Deaths
0,516919,10628
1,71069,228
2,843499,16911
3,330405,5644
4,3673400,61795
5,464428,6131
6,306734,7747
7,95491,1558
8,2035810,32606
9,1049278,19634
10,29386,502
11,183511,1963
12,1254410,23718
13,686151,13159
14,351746,5731
15,303229,4828
16,431145,6674
17,439938,9987
18,50900,751
19,407237,8238
20,642790,17206
21,773343,17192
22,520977,6958
23,306537,7049
24,584291,8216
25,104679,1470
26,209200,2173
27,303928,5005
28,84122,1261
29,886536,23792
30,192428,3975
31,-1,-1
32,939959,12770
33,105015,1521
34,1017602,19048
35,439169,5265
36,167479,2417
37,1038142,25295
38,132902,2601
39,551790,9124
40,117442,1940
41,807887,11906
42,2786294,48276
43,385638,2109
44,19594,226
45,624838,10307
46,358731,5096
47,142234,2589
48,636146,7182
49,56213,706
50,516919,10628
51,71069,228
52,843499,16911
53,330405,5644
54,3673400,61795
55,464428,6131
56,306734,7747
57,95491,1558
58,2035810,32606
59,1049278,19634
60,29386,502
61,183511,1963
62,1254410,23718
63,686151,13159
64,351746,5731
65,303229,4828
66,431145,6674
67,439938,9987
68,50900,751
69,407237,8238
70,642790,17206
71,773343,17192
72,520977,6958
73,306537,7049
74,584291,8216
75,104679,1470
76,209200,2173
77,303928,5005
78,84122,1261
79,886536,23792
80,192428,3975
81,-1,-1
82,939959,12770
83,105015,1521
84,1017602,19048
85,439169,5265
86,167479,2417
87,1038142,25295
88,132902,2601
89,551790,9124
90,117442,1940
91,807887,11906
92,2786294,48276
93,385638,2109
94,19594,226
95,624838,10307
96,358731,5096
97,142234,2589
98,636146,7182
99,56213,706
100,516919,10628
101,71069,228
102,843499,16911
103,330405,5644
104,3673400,61795
105,464428,6131
106,306734,7747
107,95491,1558
108,2035810,32606
109,1049278,19634
110,29386,502
111,183511,1963
112,1254410,23718
113,686151,13159
114,351746,5731
115,303229,4828
116,431145,6674
117,439938,9987
118,50900,751
119,407237,8238
120,642790,17206
121,773343,17192
122,520977,6958
123,306537,7049
124,584291,8216
125,104679,1470
126,209200,2173
127,303928,5005
128,84122,1261
129,886536,23792
130,192428,3975
131,-1,-1
132,939959,12770
133,105015,1521
134,1017602,19048
135,439169,5265
136,167479,2417
137,1038142,25295
138,132902,2601
139,551790,9124
140,117442,1940
141,807887,11906
