ID,Confirmed,Deaths
0,513619,10518
1,64581,290
2,842615,17117
3,329804,5683
4,3658621,63027
5,463318,6120
6,309306,7849
7,94943,1560
8,2046216,33741
9,1060172,19047
10,31045,519
11,182201,1969
12,1245389,23647
13,688237,13136
14,352399,5685
15,303382,4920
16,425890,5899
17,445013,10165
18,50760,728
19,413691,8402
20,637748,17192
21,759418,17280
22,521656,6962
23,306128,7073
24,582491,8619
25,104106,1382
26,210423,2142
27,303748,5315
28,84600,1253
29,912067,24643
30,192070,3940
31,1854194,50046
32,914921,12199
33,102920,1489
34,1018844,19036
35,439918,4930
36,165331,2409
37,1032533,25041
38,138583,2656
39,551608,9152
40,117934,1927
41,816247,11870
42,2787945,48209
43,386097,2126
44,19492,228
45,618983,10397
46,369414,5288
47,142333,2629
48,637031,7270
49,56329,699
50,513619,10518
51,64581,290
52,842615,17117
53,329804,5683
54,3658621,63027
55,463318,6120
56,309306,7849
57,94943,1560
58,2046216,33741
59,1060172,19047
60,31045,519
61,182201,1969
62,1245389,23647
63,688237,13136
64,352399,5685
65,303382,4920
66,425890,5899
67,445013,10165
68,50760,728
69,413691,8402
70,637748,17192
71,759418,17280
72,521656,6962
73,306128,7073
74,582491,8619
75,104106,1382
76,210423,2142
77,303748,5315
78,84600,1253
79,912067,24643
80,192070,3940
81,1854194,50046
82,914921,12199
83,102920,1489
84,1018844,19036
85,439918,4930
86,165331,2409
87,1032533,25041
88,138583,2656
89,551608,9152
90,117934,1927
91,816247,11870
92,2787945,48209
93,386097,2126
94,19492,228
95,618983,10397
96,369414,5288
97,142333,2629
98,637031,7270
99,56329,699
100,513619,10518
101,64581,290
102,842615,17117
103,329804,5683
104,3658621,63027
105,463318,6120
106,309306,7849
107,94943,1560
108,2046216,33741
109,1060172,19047
110,31045,519
111,182201,1969
112,1245389,23647
113,688237,13136
114,352399,5685
115,303382,4920
116,425890,5899
117,445013,10165
118,50760,728
119,413691,8402
120,637748,17192
121,759418,17280
122,521656,6962
123,306128,7073
124,582491,8619
125,104106,1382
126,210423,2142
127,303748,5315
128,84600,1253
129,912067,24643
130,192070,3940
131,1854194,50046
132,914921,12199
133,102920,1489
134,1018844,19036
135,439918,4930
136,165331,2409
137,1032533,25041
138,138583,2656
139,551608,9152
140,117934,1927
141,816247,11870
142,2787945,48209
143,386097,2126
144,19492,228
145,618983,10397
146,369414,5288
147,142333,2629
148,637031,7270
149,56329,699
150,513619,10518
151,64581,290
152,842615,17117
153,329804,5683
154,3658621,63027
155,463318,6120
156,309306,7849
157,94943,1560
158,2046216,33741
159,1060172,19047
160,31045,519
161,182201,1969
162,1245389,23647
163,688237,13136
164,352399,5685
165,303382,4920
166,425890,5899
167,445013,10165
168,50760,728
169,413691,8402
170,637748,17192
171,759418,17280
172,521656,6962
173,306128,7073
174,582491,8619
175,104106,1382
176,210423,2142
177,303748,5315
178,84600,1253
179,912067,24643
180,192070,3940
181,1854194,50046
182,914921,12199
183,102920,1489
184,1018844,19036
185,439918,4930
186,165331,2409
187,1032533,25041
188,138583,2656
189,551608,9152
190,117934,1927
191,816247,11870
192,2787945,48209
193,386097,2126
194,19492,228
195,618983,10397
196,369414,5288
197,142333,2629
198,637031,7270
199,56329,699
200,513619,10518
201,64581,290
202,842615,17117
203,329804,5683
204,3658621,63027
205,463318,6120
206,309306,7849
207,94943,1560
208,2046216,33741
209,1060172,19047
210,31045,519
211,182201,1969
212,1245389,23647
213,688237,13136
214,352399,5685
215,303382,4920
216,425890,5899
217,445013,10165
218,50760,728
219,413691,8402
220,637748,17192
221,759418,17280
222,521656,6962
223,306128,7073
224,582491,8619
225,104106,1382
226,210423,2142
227,303748,5315
228,84600,1253
229,912067,24643
230,192070,3940
231,1854194,50046
232,914921,12199
233,102920,1489
234,1018844,19036
235,439918,4930
236,165331,2409
237,1032533,25041
238,138583,2656
239,551608,9152
240,117934,1927
241,816247,11870
242,2787945,48209
243,386097,2126
244,19492,228
245,618983,10397
246,369414,5288
247,142333,2629
248,637031,7270
249,56329,699
250,513619,10518
251,64581,290
252,842615,17117
253,329804,5683
254,3658621,63027
255,463318,6120
256,309306,7849
257,94943,1560
258,2046216,33741
259,1060172,19047
260,31045,519
261,182201,1969
262,1245389,23647
263,688237,13136
264,352399,5685
265,303382,4920
266,425890,5899
267,445013,10165
268,50760,728
269,413691,8402
270,637748,17192
271,759418,17280
272,521656,6962
273,306128,7073
274,582491,8619
275,104106,1382
276,210423,2142
277,303748,5315
278,84600,1253
279,912067,24643
280,192070,3940
281,1854194,50046
282,914921,12199
283,102920,1489
284,1018844,19036
285,439918,4930
286,165331,2409
287,1032533,25041
288,138583,2656
289,551608,9152
290,117934,1927
291,816247,11870
292,2787945,48209
293,386097,2126
294,19492,228
295,618983,10397
296,369414,5288
297,142333,2629
298,637031,7270
299,56329,699
300,513619,10518
301,64581,290
302,842615,17117
303,329804,5683
304,3658621,63027
305,463318,6120
306,309306,7849
307,94943,1560
308,2046216,33741
309,1060172,19047
310,31045,519
311,182201,1969
312,1245389,23647
313,688237,13136
314,352399,5685
315,303382,4920
316,425890,5899
317,445013,10165
318,50760,728
319,413691,8402
320,637748,17192
321,759418,17280
322,521656,6962
323,306128,7073
324,582491,8619
325,104106,1382
326,210423,2142
327,303748,5315
328,84600,1253
329,912067,24643
330,192070,3940
331,1854194,50046
332,914921,12199
333,102920,1489
334,1018844,19036
335,439918,4930
336,165331,2409
337,1032533,25041
338,138583,2656
339,551608,9152
340,117934,1927
341,816247,11870
342,2787945,48209
343,386097,2126
344,19492,228
345,618983,10397
346,369414,5288
347,142333,2629
348,637031,7270
349,56329,699
350,513619,10518
351,64581,290
352,842615,17117
353,329804,5683
354,3658621,63027
355,463318,6120
356,309306,7849
357,94943,1560
358,2046216,33741
359,1060172,19047
360,31045,519
361,182201,1969
362,1245389,23647
363,688237,13136
364,352399,5685
365,303382,4920
366,425890,5899
367,445013,10165
368,50760,728
369,413691,8402
370,637748,17192
371,759418,17280
372,521656,6962
373,306128,7073
374,582491,8619
375,104106,1382
376,210423,2142
377,303748,5315
378,84600,1253
379,912067,24643
380,192070,3940
381,1854194,50046
382,914921,12199
383,102920,1489
384,1018844,19036
385,439918,4930
386,165331,2409
387,1032533,25041
388,138583,2656
389,551608,9152
390,117934,1927
391,816247,11870
392,2787945,48209
393,386097,2126
394,19492,228
395,618983,10397
396,369414,5288
397,142333,2629
398,637031,7270
399,56329,699
400,513619,10518
401,64581,290
402,842615,17117
403,329804,5683
404,3658621,63027
405,463318,6120
406,309306,7849
407,94943,1560
408,2046216,33741
409,1060172,19047
410,31045,519
411,182201,1969
412,1245389,23647
413,688237,13136
414,352399,5685
415,303382,4920
416,425890,5899
417,445013,10165
418,50760,728
419,413691,8402
420,637748,17192
421,759418,17280
422,521656,6962
423,306128,7073
424,582491,8619
425,104106,1382
426,210423,2142
427,303748,5315
428,84600,1253
429,912067,24643
430,192070,3940
431,1854194,50046
432,914921,12199
433,102920,1489
434,1018844,19036
435,439918,4930
436,165331,2409
437,1032533,25041
438,138583,2656
439,551608,9152
440,117934,1927
441,816247,11870
442,2787945,48209
443,386097,2126
444,19492,228
445,618983,10397
446,369414,5288
447,142333,2629
448,637031,7270
449,56329,699
450,513619,10518
451,64581,290
452,842615,17117
453,329804,5683
454,3658621,63027
455,463318,6120
456,309306,7849
457,94943,1560
458,2046216,33741
459,1060172,19047
460,31045,519
461,182201,1969
462,1245389,23647
463,688237,13136
464,352399,5685
465,303382,4920
466,425890,5899
467,445013,10165
468,50760,728
469,413691,8402
470,637748,17192
471,759418,17280
472,521656,6962
473,306128,7073
474,582491,8619
475,104106,1382
476,210423,2142
477,303748,5315
478,84600,1253
479,912067,24643
480,192070,3940
481,1854194,50046
482,914921,12199
483,102920,1489
484,1018844,19036
485,439918,4930
486,165331,2409
487,1032533,25041
488,138583,2656
489,551608,9152
490,117934,1927
491,816247,11870
492,2787945,48209
493,386097,2126
494,19492,228
495,618983,10397
496,369414,5288
497,142333,2629
498,637031,7270
499,56329,699
500,513619,10518
501,64581,290
502,842615,17117
503,329804,5683
504,3658621,63027
505,463318,6120
506,309306,7849
507,94943,1560
508,2046216,33741
509,1060172,19047
510,31045,519
511,182201,1969
512,1245389,23647
513,688237,13136
514,352399,5685
515,303382,4920
516,425890,5899
517,445013,10165
518,50760,728
519,413691,8402
520,637748,17192
521,759418,17280
522,521656,6962
523,306128,7073
524,582491,8619
525,104106,1382
526,210423,2142
527,303748,5315
528,84600,1253
529,912067,24643
530,192070,3940
531,1854194,50046
532,914921,12199
533,102920,1489
534,1018844,19036
535,439918,4930
536,165331,2409
537,1032533,25041
538,138583,2656
539,551608,9152
540,117934,1927
541,816247,11870
542,2787945,48209
543,386097,2126
544,19492,228
545,618983,10397
546,369414,5288
547,142333,2629
548,637031,7270
549,56329,699
550,513619,10518
551,64581,290
552,842615,17117
553,329804,5683
554,3658621,63027
555,463318,6120
556,309306,7849
557,94943,1560
558,2046216,33741
559,1060172,19047
560,31045,519
561,182201,1969
562,1245389,23647
563,688237,13136
564,352399,5685
565,303382,4920
566,425890,5899
567,445013,10165
568,50760,728
569,413691,8402
570,637748,17192
571,759418,17280
572,521656,6962
573,306128,7073
574,582491,8619
575,104106,1382
576,210423,2142
577,303748,5315
578,84600,1253
579,912067,24643
580,192070,3940
581,1854194,50046
582,914921,12199
583,102920,1489
584,1018844,19036
585,439918,4930
586,165331,2409
587,1032533,25041
588,138583,2656
589,551608,9152
590,117934,1927
591,816247,11870
592,2787945,48209
593,386097,2126
594,19492,228
595,618983,10397
596,369414,5288
597,142333,2629
598,637031,7270
599,56329,699
600,513619,10518
601,64581,290
602,842615,17117
603,329804,5683
604,3658621,63027
605,463318,6120
606,309306,7849
607,94943,1560
608,2046216,33741
609,1060172,19047
610,31045,519
611,182201,1969
612,1245389,23647
613,688237,13136
614,352399,5685
615,303382,4920
616,425890,5899
617,445013,10165
618,50760,728
619,413691,8402
620,637748,17192
621,759418,17280
622,521656,6962
623,306128,7073
624,582491,8619
625,104106,1382
626,210423,2142
627,303748,5315
628,84600,1253
629,912067,24643
630,192070,3940
631,1854194,50046
632,914921,12199
633,102920,1489
634,1018844,19036
635,439918,4930
636,165331,2409
